Date,Open,High,Low,Close,Adj Close,Volume
02-11-2020,2660,2664.850098,2600.050049,2604.600098,2599.653076,2571196
03-11-2020,2604,2665,2601.050049,2633.600098,2628.5979,2879269
04-11-2020,2610,2721.850098,2610,2653.149902,2648.110596,4893928
05-11-2020,2685,2710,2667,2685.699951,2680.598877,2816502
06-11-2020,2699,2713.25,2681.300049,2707.449951,2702.307617,3884421
09-11-2020,2731.100098,2744,2695.100098,2726.600098,2721.421387,3646592
10-11-2020,2697.199951,2713.149902,2638.350098,2649.600098,2644.567627,4760020
11-11-2020,2667.949951,2692.800049,2643.399902,2687.800049,2682.694824,3242441
12-11-2020,2686,2713,2661.75,2671.050049,2665.976807,2437505
13-11-2020,2655.75,2664.899902,2636,2656.850098,2651.803711,2548093
17-11-2020,2695,2695,2650.050049,2666.050049,2660.986328,2827273
18-11-2020,2661,2664.199951,2607.050049,2626.649902,2621.660889,2893762
19-11-2020,2637,2676.149902,2630.850098,2636.899902,2631.891357,4167501
20-11-2020,2655,2676,2627.550049,2660.25,2655.197266,2711471
23-11-2020,2690,2730,2665,2724.25,2719.075684,3706418
24-11-2020,2734.399902,2743,2705,2722.050049,2716.879883,3120516
25-11-2020,2729,2732.949951,2688.199951,2701.300049,2696.169189,3302249
26-11-2020,2686,2730.949951,2680,2720.600098,2715.432617,2341099
27-11-2020,2705,2717.699951,2669.050049,2679.649902,2674.560303,6086808
01-12-2020,2679,2735.899902,2624.449951,2726.800049,2721.62085,3605017
02-12-2020,2719,2754.699951,2702.449951,2749.550049,2744.327637,2509032
03-12-2020,2773.899902,2773.899902,2700.800049,2709.449951,2704.303711,2852548
04-12-2020,2710.800049,2738.850098,2699,2727.550049,2722.369385,2686527
07-12-2020,2715,2744,2706.149902,2737.699951,2732.5,1996400
08-12-2020,2740,2805.550049,2732.449951,2797.300049,2791.987061,4277818
09-12-2020,2815,2840,2793.149902,2810.800049,2805.461426,3659996
10-12-2020,2818,2827.300049,2780.25,2784.300049,2779.011719,2127801
11-12-2020,2792.699951,2807.699951,2764.550049,2783.600098,2778.312988,1795408
14-12-2020,2802,2804,2756.25,2797.699951,2792.385986,2483658
15-12-2020,2786,2794.699951,2755,2761.550049,2756.304932,2365509
16-12-2020,2779,2819.800049,2760.449951,2814.199951,2808.854736,2565149
17-12-2020,2811,2853.699951,2805,2838.199951,2832.809082,2863460
18-12-2020,2868,2898,2846.199951,2861,2855.565918,6076692
21-12-2020,2861,2886.5,2785,2820.149902,2814.793457,2705195
22-12-2020,2834,2883.649902,2818.649902,2872.5,2867.044189,2881737
23-12-2020,2876.050049,2919,2865.449951,2908.75,2903.225342,2790988
24-12-2020,2909,2921.350098,2883.199951,2909.350098,2903.824219,1807144
28-12-2020,2910,2949.699951,2902,2929.399902,2923.835938,2108994
29-12-2020,2920,2952,2920,2930.5,2924.933838,1994151
30-12-2020,2934.399902,2947.699951,2902,2909.300049,2903.77417,2637968
31-12-2020,2900,2905,2845,2862.75,2857.3125,4040956
01-01-2021,2880,2940,2879,2928.25,2922.688232,2681440
04-01-2021,2950,3050.75,2940.949951,3039.449951,3033.677002,5113293
05-01-2021,3039.600098,3114.25,3039.600098,3093,3087.125244,5801309
06-01-2021,3100,3113.5,3037.199951,3051.5,3045.704102,3726716
07-01-2021,3075,3080.850098,3000.25,3032.800049,3027.039551,3717827
08-01-2021,3090,3128,3060,3120.899902,3114.972168,5879039
11-01-2021,3230,3230,3146.550049,3176.449951,3170.416748,9508039
12-01-2021,3176.449951,3210,3150,3174.850098,3168.819824,3611458
13-01-2021,3175,3177,3126.25,3158.949951,3152.949951,3572801
14-01-2021,3155,3266.5,3120.399902,3250.699951,3250.699951,6931542
15-01-2021,3235,3274,3210,3233.350098,3233.350098,4131692
18-01-2021,3250,3256.75,3187.399902,3221.75,3221.75,4160906
19-01-2021,3233,3279,3232,3260.699951,3260.699951,2975735
